[Wed Nov 26 13:11:30.334035 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.334035 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.334035 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.376419 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.376419 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.376419 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.376419 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.814254 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.814762 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.814762 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.814762 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.853253 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.853253 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.853253 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.853253 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.935087 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.935087 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.935087 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.935087 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.959833 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.961858 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:36.961858 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:53703] Public path: /images/team, referer: http://localhost:5174/
